รหัสสินค้า,ชื่อสินค้า,  ราคา  
58/2,ACTEWOUND SILICONE GEL SHEET ซิลิโคนเจล 4x15cm (ก.1ชิ้น), 169.00 
8231,ACTEWOUND SILICONE GEL SHEET ซิลิโคนเจล 4x6cm (ก.2ชิ้น), 137.75 
58,ACTEWOUND SILICONE GEL SHEET ซิลิโคนเจล 7x15cm (ก.1ชิ้น), 282.00 
58/3,ACTEWOUND SILICONE GEL SHEET ซิลิโคนเจล แบบม้วน 2.5x100cm (ก.1ม้วน), 353.00 
8231/1,ACTEWOUND SI SILICONE GEL 10g ซิลิโคนเจล (ก.1หลอด), 262.00 
8231/2,ACTEWOUND SI UV SILICONE GEL 10g สีเบจ ซิลิโคนเจล (ก.1หลอด), 263.00 
1132/7,ACTISAC 50x10s [Fluoxetine] (เม็ดเขียวเหลือง) (ก.50แผง), 379.00 
1553/11,A.C.V. CREAM 1gx10s [greater] (ก.10ซอง), 53.00 
1553/10,A.C.V. CREAM 3g [greater] (ก.1หลอด), 21.50 
1144/1,ACVIT-A GEL 0.05% 10g (ก.1หลอด), 27.25 
3824/4,ADAVIL 400mg 1x10s (ก.1แผง), 17.00 
3824/5,ADAVIL F/C TABLETS 400mg 50x10s (สีส้มอิฐ) (ก.50แผง), 537.00 
2026/1,ADRENALINE INJ 1mlx50amp 1mg/1ml (ก.50ขวด), 425.00 
953,AERIUS 1x10s (ก.1แผง), 253.00 
954/8,AERIUS SYRUP 60ml SF (ก.1ขวด), 201.00 
168/1,AEROBIDOL INHALER 200doses (ก.1ชุด), 209.00 
168/4,AERONIDE 200mcg มีโปรซื้อเยอะ (ก.1ชุด), 200.00 
168/6,AEROTAMOL INHALER 100mcg 200doses (ก.1ขวด), 87.75 
168/2,AEROTAMOL INHALER 100mcg 200doses + spacer (ก.1ขวด), 93.00 
168/3,AEROTIDE 125 120doses (ก.1ขวด), 225.50 
168/5,AEROTIDE 250 120doses (ก.1ขวด), 479.00 
23-ม.ค.,AIRROX รสมิ้นท์ 80mg 10x10s (ก.10แผง), 85.00 
2239,AIR-X 120mg 10s (แผง), 14.20 
2239/1,AIR-X 40mg MINT SUGAR FREE 10x10s (ก.10แผง), 123.00 
2240,AIR-X DROPS 15ml (ก.1ขวด), 44.50 
23/22,AIR-X น้ำ 10mlx12ซอง รสมะนาว (ก.12ซอง), 128.00 
21-ม.ค.,AIR-X รสมะนาว LEMON 25x4s (ก.25แผง), 138.00 
21,AIR-X รสมะนาว LEMON 80mg 10s มีโปรซื้อเยอะ (แผง), 12.00 
23,AIR-X รสมิ้นท์ MINT 10s มีโปรซื้อเยอะ (แผง), 12.00 
2241,AIR-X รสส้ม ORANGE 80mg 10s มีโปรซื้อเยอะ (แผง), 12.00 
781/1,AKNEDERM-BP 2.5% 10g (ก.1หลอด), 42.00 
786/1,AKNEDERM-BP5 10g (ก.1หลอด), 55.50 
2152/1,A-KOOL INHALANT ยาดม 5ml (ก.1ขวด), 15.00 
28-ก.พ.,ALBEMED 200mg 100s (ขวด), 112.00 
28-มี.ค.,ALBEMED 200mg 10x6s *ใหม่136 (ก.10แผง), 119.00 
2169,ALBEN 10ml (ก.1ขวด), 15.45 
28,ALBEN 200mg 1x2s (ก.1แผง), 7.30 
2169/2,ALBEN 200mg/5ml รสส้ม อัลเบน (ก.12ซอง), 187.00 
30,ALBER-T 10g (ก.1หลอด), 42.00 
