รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
5870,ปลอกแขน CITIZEN 32-42 cm รุ่น CHU503,ราคา 725.00 บาท
5848,M-SOFT UREA 20 g (MEDMAKER),ราคา 52.00 บาท
5869,DUREX แอรี่ 2 ชิ้น,ราคา 55.00 บาท
5859,DICLOCILLIN 500 mg 25X10's (TO),ราคา 470.00 บาท
5851,น้ำมันเหลือง เวชพงศ์ 24 ml,ราคา 78.00 บาท
5850,PHARMICA ICY Spray 200 ml,ราคา 146.00 บาท
5789,DIFAZT Gel 30 g (Macrophar),ราคา 29.00 บาท
5766,MASAGA Cream 30 g,ราคา 17.00 บาท
5767,KENYAI-I TABLETS 50X10's/กล่อง,ราคา 480.00 บาท
5768,LEBREX 200 mg 10X10's/กล่อง,ราคา 410.00 บาท
5769,EXTORANT Tablets 50X10's/กล่อง,ราคา 335.00 บาท
5770,LARIK 75 mg 4X14's/กล่อง,ราคา 236.00 บาท
5771,BIOKRILL 30's,ราคา 430.00 บาท
5773,I-CETIN 25X10's (LBS),ราคา 577.00 บาท
5774,IBUKIDS Suspension 60 ml (LBS),ราคา 17.00 บาท
5775,ACETIN 200 mg 50X5g/กล่อง (LBS),ราคา 152.00 บาท
5776,MEFEC 500 mg 25X10's (LBS),ราคา 263.00 บาท
5778,G-PENTIN 300 mg 10X10's (LBS),ราคา 347.00 บาท
5779,CAMBIC 7.5 mg 10X10's (LBS),ราคา 177.00 บาท
5781,ACEVAX 400 mg 10X10's (LBS),ราคา 325.00 บาท
5793,ITRA 100 mg 25X4's/กล่อง (Macrophar),ราคา 470.00 บาท
5791,TARACORTE SKIN Cram 15 g (Macrophar),ราคา 58.00 บาท
5788,GLUCOTRIL 1500 mg Powder 30 ซอง/กล่อง (Macrophar),ราคา 197.00 บาท
5787,GARUTO 1X10's (Macrophar),ราคา 16.00 บาท
5786,BILAZ 1X10's (Macrophar),ราคา 75.00 บาท
5784,MCXY KLEAR 10X20ml/กล่อง (Millimed),ราคา 53.00 บาท
5783,MCXY KLEAR กล่อง 5X20ml/กล่อง (Millimed),ราคา 39.00 บาท
5782,CLOMAZ Vaginal Tablets 1X6's (LBS),ราคา 21.00 บาท
5780,ACEVAX 800 mg 5X10's (LBS),ราคา 285.00 บาท
5785,MAC-CALAC 100 ml (Macrophar),ราคา 78.00 บาท
5765,UMBILI ฉุนฉุน ผ้าสมุนไพร 4 ซอง/กล่อง (อัมบิลี่),ราคา 128.00 บาท
5764,DUPHACARE 200 ml กลิ้นพลัม (Abbott),ราคา 0.00 บาท
5763,SOS Plus SPORT TAPE (1 inch) 1 ม้วน/กล่อง,ราคา 32.00 บาท
5762,SCAGEL ACNE Patch 20 ชิ้น/กล่อง,ราคา 34.00 บาท
5761,SCAGEL ACNE Patch 12 ชิ้น/กล่อง,ราคา 27.00 บาท
5760,SOS Plus แผ่นแปะซิลิโคนเคลียร์ (7x15cm) 1 ชิ้น/กล่อง,ราคา 285.00 บาท
5759,SOS Plus แผ่นแปะซิลิโคน (2.5x100cm) 1 ม้วน/กล่อง,ราคา 360.00 บาท
5758,TEMPRA COOLING PATCH 8 ซอง/กล่อง,ราคา 170.00 บาท
5757,ไหมขัดฟัน Dr.PHILLIPS 50 ชิ้น/กล่อง,ราคา 28.00 บาท
5756,CLINIBLU Suspension 60 ml (BKD),ราคา 25.00 บาท
5755,POVIDINE 12X15ml/โหล,ราคา 110.00 บาท
5754,DIMENHYDRINATE 100X10's/กล่อง,ราคา 210.00 บาท
5753,FACEN SOAP 75 g (วิทยาศรม),ราคา 51.00 บาท
5752,LEFTOSE 30 mg 50X10's/กล่อง,ราคา 920.00 บาท
5747,NEOBUN MENTHOL PLASTER พลาสเตอร์แผ่นใหญ่ 11x8cm 6ซองX3แผ่น/กล่อง,ราคา 112.00 บาท
5746,NEOBUN MENTHOL PLASTER พลาสเตอร์แผ่นแปะหลัง 13x12cm 6ซองX2แผ่น/กล่อง,ราคา 220.00 บาท
5745,ยาดมสมุนไพร สูตร 1 ตราวังพรม PACK 3 กระปุก,ราคา 25.00 บาท
5744,C-20 BLUE SALLY Mouthwash 180 ml (OSi),ราคา 44.00 บาท
5743,ALCOHOL ALSOFF-S 1000 ml ตราเสือดาว,ราคา 63.00 บาท
5741,FAMOC 20 mg 10X10's (BERLIN),ราคา 135.00 บาท
5740,MOLAX Suspension 30 ml (SIAM),ราคา 46.00 บาท
5739,VIN DROP 15 ml (PATAR),ราคา 19.00 บาท
5738,ZECID 20 mg 10X10's (KASPA),ราคา 78.00 บาท
5737,KLOBECORT MILKY Lotion 10 g (MEDMAKER),ราคา 40.00 บาท
5736,SMOOTH E WHITE Serum 12 g,ราคา 270.00 บาท
5735,HIRUSCAR SILICONE PRO 4 g (Medinova),ราคา 218.00 บาท
5734,U-SPA 200 mg 10X10's (SPS),ราคา 330.00 บาท
5733,CINNARIZINE 1000's (TO),ราคา 198.00 บาท
5732,CATHERINE กลิ่นวนิลลา 16 ซอง/กล่อง,ราคา 60.50 บาท
5731,MANOANE 1X21's,ราคา 60.00 บาท
5730,AS C VITAMIN C 25 mg กลิ่นองุ่น 1000's,ราคา 102.00 บาท
5729,PATARDIUM Capsule 500's (PATAR),ราคา 146.00 บาท
5728,GASTAB 1000's (GREATER),ราคา 206.00 บาท
5727,CEFEN 400 mg 1000's (CPL),ราคา 355.00 บาท
5726,IMPELIUM 2 mg 1000's (TO),ราคา 235.00 บาท
5725,B-COXIB 90 mg 3X10's (BDMS),ราคา 110.00 บาท
5724,LH TEST ชุดทดสอบระยะการตกไข่ แบบหยด 5 ชุด/กล่อง,ราคา 150.00 บาท
5722,TRUSLEN KERVE PLUS 18gX12ซอง,ราคา 106.00 บาท
5721,ลูกกลิ้งนวดขมับ Cool Temp Soothing Roller Ball 5 ml (Nanomed),ราคา 0.00 บาท
