รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
14994,DIFFLAM ลูกอม 12' SWILD BERRY blister INOVA,40.00 บาท/กล่อง
11863,DIFFLAM ลูกอม 8' SWILD BERRY 1 กล่อง 24 ซอง INOVA,20.00 บาท/แผง
11861,DIFFLAM ลูกอม 8'S H&L 1 กล่อง 24 ซอง INOVA,20.00 บาท/แผง
11862,DIFFLAM ลูกอม 8'S VIT C 1 กล่อง 24 ซอง INOVA,20.75 บาท/แผง
11864,DIFFLIS HERBAL MOUTH SPRAY INOVA 15 ML,102.00 บาท/ขวด
11062,DIFLUCAN 150 MG 1'S,172.00 บาท/กล่อง
13202,DIGIDTAL THERMOMETER SOS BT-A11CN,73.00 บาท/อัน
16423,DIGITAL THERMOMETER FEATURES ปลายแข็ง,52.00 บาท/อัน
16424,DIGITAL THERMOMETER FEATURES ปลายอ่อน,62.00 บาท/อัน
13194,DIGITAL THERMOMETER OMRON MC-246,177.00 บาท/อัน
11067,DILANTIN CAP 100'S,393.00 บาท/ขวด
11542,DILIZEM 30 MG 10X10'S,157.00 บาท/กล่อง
11543,DILIZEM 60 MG 10X10'S,275.00 บาท/กล่อง
11072,DIMENHYDRINATE 100x10'S T MAN ขายยกกล่อง,260.00 บาท/กล่อง
14820,DIMENHYDRINATE A.U. 100X 10'S,195.00 บาท/กล่อง
11073,DIMENHYDRINATE B.K. 100X 10'S,220.00 บาท/กล่อง
11034,DINAC-FORTE 50X10'S,200.00 บาท/กล่อง
14964,DINAC-FORTE01000'S,323.00 บาท/กระปุก
14247,DIOCTOL (Docusate sodium 100 mg),198.00 บาท/กล่อง
11911,DIORA 21 'S,36.00 บาท/กล่อง
11912,DIORA 28 'S,36.00 บาท/กล่อง
10880,DIOSMIN 3X10;S,115.00 บาท/กล่อง
14543,DIOSMIN 45X10;S,"1,300.00 บาท/กล่อง"
11076,DIOVAN 160 MG. 2X14'S,750.00 บาท/กล่อง
11074,DIOVAN 80 MG. 2X14'S,635.00 บาท/กล่อง
10068,DIOXZYE ORAL DROP 15 ML,41.00 บาท/ขวด
16406,DIOXZYE MINT 10X10'S,132.00 บาท/กล่อง
10070,DIOXZYE MINT 25X10'S,13.50 บาท/แผง
10067,DIOXZYE ORANGE 25X10,333.00 บาท/กล่อง
15618,DIOXZYE ORANGE 50X10,665.00 บาท/กล่อง
12027,DIPAZIDE 10x10's (glipizide) siam,131.00 บาท/กล่อง
11087,DIPROSALIC OINTMENT 15 GM,232.00 บาท/หลอด
11086,DIPROSALIC OINTMENT 5 GM,100.50 บาท/หลอด
11090,DIPROSONE CREAM 15 GM,142.00 บาท/หลอด
11089,DIPROSONE CREAM 5 GM,62.00 บาท/หลอด
11088,DIPROTOP OINTMENT 5 GM.,80.00 บาท/หลอด
10097,DIRAM 25x4'S ขายยกกล่อง,122.00 บาท/กล่อง
14314,DISOL 10X10'S bromhexine 8 mg siam,77.00 บาท/กล่อง
14333,DISOL FORTE ELIXEIR 8 MG 60 ML,49.50 บาท/ขวด
10942,DITAP DROP 15 ML.,19.00 บาท/ขวด
11982,DOFLAM 50 MG( diclofenac potassium) 10'S,73.50 บาท/กล่อง
13994,DOIZ 50 MG 10'S (สูตร ganaton),87.00 บาท/กล่อง
16309,DOMSTAR SYRUP 30 ML domperidone 7S ไม่มีช้อน,13.00 บาท/ขวด
12644,DOPROCT OINTMENT 10 GM.,54.00 บาท/หลอด
12643,DOPROCT SUPPO 10'S,54.00 บาท/กล่อง
10255,DORMIRAX 10 MG. 1000'S,210.00 บาท/ขวด
10257,DORMIRAX 25 MG. 500'S,292.00 บาท/ขวด
10256,DORMIRAX 25 MG.10X10'S,125.00 บาท/กล่อง
14294,DOSANAC 25 MG. TAB 10'S,12.50 บาท/แผง
14295,DOSANAC 50 MG.10'S,16.00 บาท/แผง
15081,DOSANAC 50 MG.10x10'S ขายยกกล่อง,160.00 บาท/กล่อง
16064,DOSANAC GEL 50 GM,61.00 บาท/หลอด
12356,DOSATE 20 MG 25X10'S,135.00 บาท/กล่อง
16178,DOXIN 100 MG 25X10'S ASIAN-P,335.00 บาท/กล่อง
16707,DOXY 100 MG 10X10'S MASA,130.00 บาท/กล่อง
14413,D-PRAZOL 14'S แพคละ 12 กล่อง,31.00 บาท/กล่อง
15277,Dr.O ACNES SPRAY 100 ML,265.00 บาท/หลอด
11101,DRAMAMINE 10x10'S,143.00 บาท/กล่อง
11102,DRAPOLINE CREAM,128.00 บาท/หลอด
14437,DRESSING SET เซตทำแผล 1กล่องมี 10 ชุด,14.00 บาท/ชุด
11930,D-TOXI 30'S,320.00 บาท/ขวด
15224,DULCOLAX 10X10'S,290.00 บาท/กล่อง
13900,DUODART 0.5 mg/0.4 mg 30'S,"1,530.00 บาท/กล่อง"
14227,DUODERM CGF 4in * 4 in 5 ชิ้น,600.00 บาท/กล่อง
10735,DUODERM EXTRA THIN 4in * 4 in 10 ชิ้น,800.00 บาท/กล่อง
16041,DUPHACARE 200 ML. พลัม,237.00 บาท/ขวด
11217,DUPHALAC 100 ML.,119.00 บาท/ขวด
15077,DUPHALAC 200 ML.,228.00 บาท/ขวด
16042,DUPHALAC STICK 667MG/ML 20 STICK 15 ML,368.00 บาท/กล่อง
11602,DURAN 400 MG. กลมชมพู 10'S,19.00 บาท/กล่อง
11619,DURAN 400 MG. ขาวรี 10'S,19.00 บาท/กล่อง
13971,DURAN suspension100 mg. 60 ml.,26.50 บาท/ขวด
15880,DUREX AIRY 10 ชิ้น,235.00 บาท/กล่อง
11131,DUREX AIRY 2 ชิ้น,56.00 บาท/กล่อง
16446,DUREX CHOCOLATE 12 ชิ้น,214.00 บาท/กล่อง
15508,DUREX CHOCOLATE 3 ชิ้น,59.00 บาท/อัน
14037,DUREX COMFORT 10 ชิ้น,214.00 บาท/กล่อง
11127,DUREX COMFORT 3 ชิ้น,71.00 บาท/ชิ้น
16069,DUREX COOLMINT 3 ชิ้น,59.00 บาท/อัน
11141,DUREX DUAL PLESURE 3 ชิ้น,74.50 บาท/กล่อง
11145,DUREX EXCITA 3 ชิ้น,44.75 บาท/กล่อง
16445,DUREX EXPLORE 10 ชิ้น,99.00 บาท/กล่อง
11152,DUREX EXPLORE 3ชิ้น,35.00 บาท/กล่อง
11134,DUREX FETHERITE 12 ชิ้น,215.00 บาท/กล่อง
11146,DUREX FETHERITE 3 ชิ้น,59.00 บาท/กล่อง
11138,DUREX FETHERLITE ULTIMA,65.00 บาท/ชิ้น
11142,DUREX KINGTEX 12 ชิ้น,124.00 บาท/กล่อง
11147,DUREX KINGTEX 3 ชิ้น,35.25 บาท/อัน
11130,DUREX LOVE 12x3's,35.00 บาท/ชิ้น
15220,DUREX PERFORMA 10 ชิ้น,202.00 บาท/กล่อง
11151,DUREX PERFORMA 3 ชิ้น,65.00 บาท/อัน
11128,DUREX PLAY 100 ml. 230-,173.00 บาท/ขวด
14810,DUREX PLAY STRAWBERRY 50 ML,120.00 บาท/หลอด
11125,DUREX PLAY 50 ML,92.00 บาท/หลอด
11129,DUREX PLAY STRAWBERRY 100 ML. 289-,229.00 บาท/ขวด
11133,DUREX PLAY WARM 100 ML. 289-,228.00 บาท/ขวด
15823,DUREX PLAY แบบซองพกพา 3x5 ml. STRAWBERY,46.00 บาท/กล่อง
14299,DUREX PROTECT 12x3's,32.00 บาท/ชิ้น
11149,DUREX SENSATION 3 ชิ้น,59.00 บาท/อัน
11139,DUREX STRAWBERRY 12 ชิ้น 258-,215.00 บาท/กล่อง
11150,DUREX STRAWBERRY 3 ชิ้น,59.00 บาท/อัน
11221,DUSPATIN 135 10X10'S,297.00 บาท/กล่อง
16242,Dutasteride 0.5 mg TEVA EXP 4/27,870.00 บาท/กล่อง
16425,DUTASVITAE 0.5 MG.SOFT CAPSULES 30'S,420.00 บาท/กล่อง
10484,DUTROSS 8 MG. 10'S,16.50 บาท/กล่อง
10486,DUTROSS DM KIDS 60 ML.,30.00 บาท/ขวด
10485,DUTROSS SYRUP 60 ML.,21.00 บาท/ชิ้น
15837,"DYMISTA NASAL SPRAY , SUSPENSION 120 DOSE",640.00 บาท/กล่อง
10152,DYMOXIN 500 MG.50x10'S BLISTER ขาว-ชมพู,760.00 บาท/กล่อง
11156,EAR PUTTY,75.00 บาท/ชิ้น
16171,EARWAX 15 ML.,45.50 บาท/กล่อง
11174,EASIFIX 4CM X 2 M,73.00 บาท/ห่อ
11181,EASIFIX 6CM X 4M,82.00 บาท/ม้วน
15901,EBERIL 90 MG 3x10'S UNISON,330.00 บาท/กล่อง
10623,EBERIL 90 MG 5'S UNISON,43.00 บาท/แผง
10625,EBERIL120 MG 5'S UNISON,52.00 บาท/แผง
13915,EBIXA 20 MG 28'S,"4,900.00 บาท/กล่อง"
13876,EBIXA 10 MG 28'S,"2,400.00 บาท/กล่อง"
11959,ECHINAX 10 X10'S,940.00 บาท/กล่อง
14386,ECOCORT CREAM 15 GM.,120.00 บาท/หลอด
14200,EDARBI 40 MG 2x14'S,800.00 บาท/กล่อง
16564,EDWARD CALAMINE LOTION 55 ML รุ่นใหม่สีชมพู,31.00 บาท/ขวด
14743,EDWARD CALAMINE 60 ML,17.50 บาท/ขวด
16698,EIDAR (diacerein 50mg ) 3X10'S sps,293.00 บาท/กล่อง
11170,"ELASTIC 2""X5 Y LONGMED ( ขายยกกล่อง )",90.00 บาท/โหล
11171,"ELASTIC 3""X5 Y LONGMED ( ขายยกกล่อง )",135.00 บาท/โหล
11172,"ELASTIC 4""X5 Y LONGMED ( ขายยกกล่อง )",173.00 บาท/โหล
11177,ELASTIC COHESIVE 2.5 CMx4 M,52.75 บาท/ชิ้น
11182,ELASTIC COHESIVE 4.0 CMX4M,57.50 บาท/ชิ้น
11178,ELASTIC COHESIVE 6.0 CMx2/4M,62.75 บาท/ชิ้น
16052,Elevit 30's วิตามินสำหรับแม่ก่อนและหลังตั้งครรภ์,297.00 บาท/กล่อง
10885,ELIDEL 1% 15 GM.,770.00 บาท/หลอด
15633,ELLEZIN 10'S (levocetrizine NEOCA),46.00 บาท/แผง
11199,ELLGY H2O ARR LOTION 250 GM. 325-,177.00 บาท/กล่อง
11197,ELLGY H2O hand &body CREME 50 GM.,158.00 บาท/กล่อง
11196,ELLGY PLUS 50GM.,138.00 บาท/หลอด
14697,ELLGY PLUS 50GM. D FACTOR,137.00 บาท/หลอด
11202,ELMETHACIN SOLUTION 153-,123.00 บาท/ขวด
11206,ELOMET 15 GM,198.00 บาท/หลอด
11205,ELOMET 5 GM,93.00 บาท/หลอด
11207,ELOMET LOTION 30 ML,374.00 บาท/ขวด
11212,ELTROXIN 100 MCG. 100'S,76.50 บาท/ขวด
13548,EMLA CREAM 5% 30GM,655.00 บาท/หลอด
16557,EMSON 50 MG. 3X10'S ขายยกกล่อง,88.00 บาท/กล่อง
11222,EMULAX 100's,27.00 บาท/ขวด
11223,EMULAX แผง 10X10'S,60.00 บาท/กล่อง
11214,EMULAX 1000'S,135.00 บาท/ขวด
10970,ENAF-150 VIAL 3 ML.,13.00 บาท/VIAL
12718,ENARIL 20 MG 10x10'S,93.00 บาท/กล่อง
12719,ENARIL 5 MG,62.00 บาท/กล่อง
14711,ENDOVELLE,"1,420.00 บาท/กล่อง"
11227,ENO ซอง มะนาว 1 กล่องมี 60 ซอง 12- NEW,655.00 บาท/กล่อง
11226,ENO ซอง ส้ม 1กล่องมี 60ซอง NEW 12-,655.00 บาท/กล่อง
13944,ENSURE GOLD low sugar wheat 400 GM,457.00 บาท/กระป๋อง
13931,ENSURE GOLD low sugar wheat 850 GM,790.00 บาท/กระป๋อง
13943,ENSURE GOLD VANILLA 380 GM,457.00 บาท/กระป๋อง
13926,ENSURE GOLD CHOCOLATE 850 GM,790.00 บาท/กระป๋อง
14559,ENSURE GOLD VANILLA 1200 GM,"1,090.00 บาท/กล่อง"
13925,ENSURE GOLD VANILLA 850 GM,790.00 บาท/กระป๋อง
14557,ENSURE GOLD VANILLA 850 GMแพคคู่<850+850+ธัญญพืช400>,"1,954.00 บาท/แพค"
14850,ENSURE GOLD VANILLA 850 GMแพคคู่<850+850+วานิลา400>,"1,954.00 บาท/แพค"
14558,ENSURE GOLD ธัญญพืช 850 GMแพคคู่<850+850+400>,"1,954.00 บาท/แพค"
14839,ENSURE GOLD ธัญพืช 3 ชนิด 380 GM กลิ่นอัลมอนต์,453.00 บาท/กระป๋อง
14840,ENSURE GOLD ธัญพืช 3 ชนิด 850 GM กลิ่นอัลมอนต์,876.00 บาท/กระป๋อง
16705,ENTRASOL PLATINUM 400 GM.,275.00 บาท/กระป๋อง
16706,ENTRASOL PLATINUM 800 GM.,533.00 บาท/กระป๋อง
12458,EPIDUO 15 GM. 0.1%adapalene+2.5%bp,535.00 บาท/หลอด
15940,EPL-300 10X10'S essestial forte,465.00 บาท/กล่อง
14763,ERBATOP 50 GM.(HAND CREAM),138.00 บาท/หลอด
16473,ERBATOP ADVANCE INTENSIVE CRACK HEEL 30 GM,91.00 บาท/หลอด
16474,ERBATOP ADVANCE INTENSIVE UREA 9% CREAM 50 GM.,171.00 บาท/หลอด
14764,ERBATOP CREAM 50 GM.,138.00 บาท/หลอด
16571,ERBATOP LOTION 75 ML.,138.00 บาท/หลอด
11236,ERFUZIDE 30 ML.,21.50 บาท/ขวด
11243,ERFUZIDE 60 ML,29.75 บาท/ขวด
16055,ERFUZIDE CAP. 10x10's,218.00 บาท/กล่อง
15408,ESLORAY SYRUP 0.5 MG 60 ML.,91.00 บาท/กล่อง
12286,ESPENAL 50 MG. 10X10'S ขายยกกล่อง,240.00 บาท/กล่อง
11248,ESPERSON 15 GM,84.75 บาท/หลอด
11247,ESPERSON CREAM 5 GM,41.00 บาท/หลอด
15095,ESSENTIAL FORTE 9X10'S,989.00 บาท/กล่อง
11249,ESSIVER 10X10'S สูตร hepacap,320.00 บาท/กล่อง
16508,ESTROFEM 2mg. 28's(ESTRADIOL 2mg),188.00 บาท/กล่อง
12582,ESTROMON 0.625 MG. 10X10'S,450.00 บาท/กล่อง
11244,E-THROCIN 10X10'S,225.00 บาท/กล่อง
10621,ETORICOXIB 120 MG 10'S sandoz,168.00 บาท/กล่อง
10620,ETORICOXIB 90 MG 10'S sandoz,144.00 บาท/กล่อง
14232,ETORICOXIB 90 MG 3X10'S T.O ขายยกกล่อง,284.00 บาท/กล่อง
16219,ETORICOXIB Alvogen120 MG 3x10'S (TEVA),245.00 บาท/กล่อง
14133,ETORICOXIB TEVA 90 MG10'S,110.00 บาท/แผง
16246,ETOXIB 120 MG 3X10'S atlanta,200.00 บาท/กล่อง
14612,ETROBAX 120 MG 7'S,80.00 บาท/กล่อง
14585,ETROBAX 90 MG 7'S,48.00 บาท/กล่อง
11970,EUGICA COFF 15X8'S,19.00 บาท/แผง
16580,EUGICA COLD MOUTH SPRAY 30 ML.,160.00 บาท/ขวด
11979,EUGICA HERBAL MOUTH SPRAY 10 ML,70.00 บาท/ขวด
14682,EUGICA IVY SYRUP 100 ML,146.00 บาท/ขวด
14681,EUGICA IVY SYRUP 5 ML กล่องละ 20 ซอง,165.00 บาท/กล่อง
11386,EUROFER-IRON SYR 60 CC,55.00 บาท/ขวด
11210,EUTHYROX 100 MCG 100'S,163.00 บาท/ขวด
11211,EUTHYROX 50 MCG 100'S,163.00 บาท/ขวด
11968,EVENING PRIM 1000MG.100'S mega,372.00 บาท/กระป๋อง
11955,EVENING PRIM 1000MG.30'S mega,125.00 บาท/ขวด
11254,EVRA 1X3 PC,443.00 บาท/กล่อง
15692,EXELFOS 3 GM.,328.00 บาท/กล่อง
13850,EXELON PATCH 10,"3,860.00 บาท/กล่อง"
11080,EXFORCE HCT 10/160/12.5 28'S,830.00 บาท/กล่อง
11081,EXFORCE HCTZ 5/160/12.5 28'S,750.00 บาท/กล่อง
10617,EXIB 120 MG 3X10'S pross ขายยกกล่อง,235.00 บาท/กล่อง
14368,EXIB 60 MG 3X10'S pross ขายยกกล่อง,210.00 บาท/กล่อง
10616,EXIB 90 MG 3X10'S pross ขายยกกล่อง,225.00 บาท/กล่อง
15871,EXIB 90 MG 5'S pross NEW PRODUCT,46.00 บาท/กล่อง
11255,EXLUTON 1x28'S,97.50 บาท/กล่อง
15139,EYEDEX 5ML,36.00 บาท/ขวด
15487,EZB 3X10'S สูตร ezetrol pross,320.00 บาท/กล่อง
15299,EZENTIA 10 MF 2X14'S สูตร ezetrol,286.00 บาท/กล่อง
11108,EZERRA CREAM 25 GM.,420.00 บาท/หลอด
11112,EZERRA EXTRA CLEANSER 150 ML.,155.00 บาท/ขวด
11312,EZETIMIBE 10 MG. 3X10'S สูตร ezetrol SANDOZ,905.00 บาท/กล่อง
11310,EZETROL 10 MG. 30's,"1,415.00 บาท/กล่อง"
11314,EZON-T SOLUTION 10 ML.,41.00 บาท/ขวด
14201,FACE SHIELD,58.00 บาท/Pcs.
10225,FACORT 15 GM.,25.00 บาท/หลอด
14869,FALATIEN 10'S,24.50 บาท/กล่อง
14602,FAMILY GUARD SPRAY 280 ML กลิ่น mountain air,124.00 บาท/ขวด
10767,FANGO 15 GM,24.50 บาท/หลอด
10769,FANGO-BD 15 G.,29.50 บาท/หลอด
15103,FANIDINE 20 MG. 10X10'S,108.00 บาท/กล่อง
15102,FANIDINE 40 MG. 10X10'S,162.00 บาท/กล่อง
14621,Far Infrared Patch 12 ซอง 8x12cm,285.00 บาท/กล่อง
15830,Far Infrared Patch Scent 12 ซอง 8x12cm กลิ่นอ่อน,285.00 บาท/กล่อง
15128,Far Infrared Patch เข่า บ่า ไหล่ 12 ซอง 10.5x15.5cm,315.00 บาท/กล่อง
15371,Far Infrared Patch เข่า บ่า ไหล่ 4 ซอง 10.5x15.5cm,105.00 บาท/กล่อง
10595,FARMALEX 10X10'S,300.00 บาท/กล่อง
13256,FASIGYN 500 MG. 4 'S,60.00 บาท/กล่อง
10826,FASTUM GEL 30 GM.,78.00 บาท/หลอด
15995,FAVOTAN 5/100 MG. (amlodipine+losartan) 3X10'S,870.00 บาท/กล่อง
15994,FAVOTAN 5/50 MG. (amlodipine+losartan) 3X10'S,800.00 บาท/กล่อง
11321,FBC 20ซองX100'S,"1,220.00 บาท/กระป๋อง"
14234,FBC DAILY 30'S,105.00 บาท/กระปุก
11320,FBC ขวด100'S,92.00 บาท/ขวด
15241,FEENA มอยส์เจอร์ สเปรย์ 150มล,180.00 บาท/ขวด
11629,FEENOZE NASOL SPRAY 20 ML.,63.00 บาท/ขวด
14830,FEGA CREAM 10 GM.,27.00 บาท/หลอด
15739,FEITAS DICLOFENAC PATCH ห่อละ 2 แผ่น1กล่องมี 15 ห่อ,64.00 บาท/ห่อ
15740,FEITAS DICLOFENAC PATCH ห่อละ 7 แผ่น1กล่องมี 5ห่อ,186.00 บาท/ห่อ
12519,FELODIPINE 5 MG 3X10'S sandoz,236.00 บาท/กล่อง
12522,FELOPINE 5 MG BERLIN 3X10'S,74.00 บาท/กล่อง
16663,FEMARA 2.5 mg 30's,"4,100.00 บาท/กล่อง"
15582,Femiflora 30's,909.00 บาท/กล่อง
15581,Femiflora intimate wash 100 ml น้ำยาทำความสะอาดจุดซ่อนเร้น,136.00 บาท/ขวด
11913,FEMINE 30 28'S,44.00 บาท/กล่อง
11942,FEMOSA 3X10'S,398.00 บาท/กล่อง
13099,FENAFEX 180 MG.10'S,62.00 บาท/แผง
13100,FENAFEX 60 MG.10'S,26.00 บาท/แผง
11324,FENISTIL GEL 20 GM,57.00 บาท/หลอด
15541,FERDEK DROPS 15 ML.,41.00 บาท/ขวด
14223,FERROTONE 10'S,45.00 บาท/แผง
11319,FERROUS SULPHATE 1000'S,105.00 บาท/ขวด
11923,FESPA 500 MG. 10'S,10.00 บาท/แผง
13190,FEVER READER,43.00 บาท/อัน
16105,FEXLORA 10 MG 10'S เม็ดเคี้ยว sps,46.00 บาท/กล่อง
16104,FEXLORA KIDS 5 MG เม็ดเคี้ยว sps,42.00 บาท/กล่อง
13098,FEXOTINE 60 MG 10'S,27.00 บาท/แผง
16121,FIBER MATE DAILY 60 GM.,158.00 บาท/กระป๋อง
14960,FIBER MATE JELLY 150G 1X10 ซอง,198.00 บาท/กล่อง
14728,FIBER POWDER 15 GM/ 8 SACHET (MSP)apple,214.00 บาท/กล่อง
11806,FIBRIL 160 MG. 30'S,167.00 บาท/กล่อง
16375,FICEF 100 MG. cefixime 10's,130.00 บาท/กล่อง
15486,FINASCAR 5 3X10'S,210.00 บาท/กล่อง
16092,FINASCIA 1 MG. 30'S,190.00 บาท/กล่อง
15923,FINASTERIDE 1MG 3X10'S,255.00 บาท/กล่อง
11660,FINN 4'S,220.00 บาท/กล่อง
12607,FIRIDE 1 MG. 30'S siam,276.00 บาท/กล่อง
12604,FIRIDE 5 MG. 30'S,460.00 บาท/กล่อง
11969,FISH OIL MEGA 100'S,331.00 บาท/กระป๋อง
11976,FISH OIL MEGA 30'S,113.00 บาท/ขวด
11329,FISHERMAN 1x24 ซอง เหลือง,28.00 บาท/ชิ้น
11340,FISHERMAN 1X24 ซอง BLACERRENT,28.00 บาท/ซอง
11337,FISHERMAN 1x24 ซอง CITUS,28.00 บาท/ซอง
11339,FISHERMAN 1X24 ซอง honey lemon,28.00 บาท/ซอง
11342,FISHERMAN 1X24 ซอง MIXED BERRIES,28.00 บาท/ซอง
11341,FISHERMAN 1X24 ซอง ขาว,28.00 บาท/ซอง
11333,FISHERMAN 1X24 ซอง ขาว-ฟ้า sugra free original,28.00 บาท/ชิ้น
11335,FISHERMAN 1X24 ซอง ขาว-ส้ม spicy mandarin,28.00 บาท/ชิ้น
11330,FISHERMAN 1X24 ซอง เขียว herbal mint,28.00 บาท/ชิ้น
11332,FISHERMAN 1X24 ซอง เขียว-ขาว sugra free mint,28.00 บาท/ชิ้น
11336,FISHERMAN 1X24 ซอง แดง เชอรี่ sugra free cherry,28.00 บาท/ซอง
11338,FISHERMAN 1X24 ซอง สเปียร์มินท์ spearmint,28.00 บาท/ซอง
16127,FIT C 500 SHOT 30x2GM,266.00 บาท/กล่อง
16271,FIT CDB CALCIUM 7'S เม็ดฟู่ รสส้ม,70.00 บาท/กล่อง
16045,"FIT COLLAGEN 10,000 MG 15G. 10ซอง/กล่อง",460.00 บาท/กล่อง
10544,FIT I-CAL PLUS 30'S cmed,226.00 บาท/ขวด
16470,FIT Post BIOTIC 2 GM. 10ซอง/กล่อง,295.00 บาท/กล่อง
16003,FIT Post BIOTIC 2 GM. 30ซอง/กล่อง,876.00 บาท/กล่อง
15895,FIT PROBIOTIC SHOT 2 GM. 30ซอง/กล่อง,535.00 บาท/กล่อง
14845,FIT PROBIOTIC SHOT 20 G 10ซอง,186.00 บาท/กล่อง
10674,FITNE CAPSULES 20'S,89.75 บาท/กล่อง
10675,FITNE CAPSULES 40'S,160.00 บาท/กล่อง
14778,FITT ANDROLIS MOUTH SPRAY 15 ml cmed,78.00 บาท/ขวด
14456,FITT HERBAL MOUTH SPRAY 15 ml cmed,62.00 บาท/ขวด
14034,FIXOMULL STRETCH 10 CM.X2 M.,77.00 บาท/กล่อง
15564,FLAMIC 20 MG. 10X10'S siam exp 3/2025,85.00 บาท/กล่อง
15445,FLAMIC 10MG 10x10 siam,142.00 บาท/กล่อง
14298,FLAMIC GEL 25 GM,37.50 บาท/หลอด
15892,FLAMIC GEL 50 GM,63.00 บาท/หลอด
10824,FLANIL CREAM 30 GM.,23.00 บาท/หลอด
11345,FLAVORIN 100 MG. 10X10'S,195.00 บาท/กล่อง
14738,FLAX SEED OIL PLUS 3X10'S (MSP),258.00 บาท/กล่อง
11353,FLEMEX SYRUP 120 ML.,79.50 บาท/ขวด
11347,FLEMEX SYRUP 60 ML,48.00 บาท/กล่อง
11351,FLEMEX SYRUP KIDS 60 ML,39.00 บาท/ขวด
11364,FLEMEX TAB 50X10'S,"1,420.00 บาท/กล่อง"
16429,FLEMEX-AC OD 600 MG 30's,415.00 บาท/กล่อง
11356,"FLEMEX-AC OD 600 MG, 2x5 blister",133.00 บาท/กล่อง
10205,FLEMING 1 GM 10'S,93.50 บาท/กล่อง
14503,FLEMING 1 GM 10x10'S,775.00 บาท/กล่อง
11359,FLEMOMILE 10 ML.,67.00 บาท/กล่อง
11966,FLEXA 500 MG 3X10'S,265.00 บาท/กล่อง
10746,FLEXIGEN collagen 15 sachet,499.00 บาท/กล่อง
16123,FLEXSA PLUS (1500/1200 MG) 15 ซอง,453.00 บาท/กล่อง
10248,FLIXONASE AQ NASOL SPRAY,495.00 บาท/กล่อง
16040,FLOCTIL 100 MG. 5ML,77.00 บาท/ขวด
16039,FLOCTIL 200 MG. 15ML,95.00 บาท/ขวด
13798,FLOCTIL 250 MG. 6 'S,50.00 บาท/กล่อง
11368,FLORA 30 CAP,83.00 บาท/กล่อง
14824,FLORACTO 2X7'S,128.00 บาท/กล่อง
14610,FLOTRAL 10 MG (alfuzosin) 3X10'S sun pharma,436.00 บาท/กล่อง
12968,FLOWNOTE 15กรัม X 24ซอง,255.00 บาท/กล่อง
10702,FLOXCIPRO 500 MG.10X10'S*,130.00 บาท/กล่อง
12269,FLOXIMED 400 MG. แผง 10X10'S,155.00 บาท/กล่อง
14502,FLOXY EAR DROP 5 ML.,191.00 บาท/ขวด
16075,FLUCIL 600 MG,235.00 บาท/กล่อง
11066,FLUCOZOLE 150 MG 1'S (fluconazole) siam,26.50 บาท/กล่อง
12850,FLUDAN 50 X10 'S,8.00 บาท/แผง
11064,FLUDIZOLE 200 MG. 50'S,245.00 บาท/กล่อง
14290,FLUIFORT 50 SACHET,"2,020.00 บาท/กล่อง"
11357,FLUIFORT SYRUP 120 ML,189.00 บาท/ขวด
13983,FLUIMUCIL A 200 MG รุ่นใหม่ 30ซอง,188.00 บาท/กล่อง
11374,FLUIMUCIL A 600 MG,147.00 บาท/กล่อง
11065,FLUNCO 200 MG. 5X10'S,270.00 บาท/กล่อง
13056,FLUNOBET-N 15 GM.,44.50 บาท/หลอด
13057,FLUNOBET-N 5 GM.,25.00 บาท/หลอด
11509,FLUOMIZIN VAGINOL SUPPO 6'S,140.00 บาท/กล่อง
12303,FLUSH NASOL &SINUS WASH START KIT,162.00 บาท/ชุด
11387,F-MIN folic acid 5 mg 100x10's patar,225.00 บาท/กล่อง
11158,FOAM EAR PLUG,62.00 บาท/ชิ้น
11398,FOBAN CREAM 15 GM.,100.00 บาท/หลอด
11395,FOBAN CREAM 5 GM.,44.00 บาท/หลอด
11399,FOBAN OINTMENT 15 GM.,100.00 บาท/หลอด
11396,FOBAN OINTMENT 5 GM.,44.00 บาท/หลอด
11400,FOBANCORT CREAM 15 GM,100.00 บาท/หลอด
14872,FOD กล่องละ 5 ซองซองละ 3 เม็ด,336.00 บาท/กล่อง
11385,FOLI-C 500 'S patar,115.00 บาท/ขวด
11383,FOLIC ACID GPO 1000's ขายขาดไม่รับคืน,325.00 บาท/ขวด
14340,FOLIC ACID 5 mg 100x10's central poly,425.00 บาท/กล่อง
16400,FOLIVIT TAB 5 MG. 1X 100'S,76.00 บาท/ขวด
11220,FORLAX POWDER 10 GM. 20 SACHEST,240.00 บาท/กล่อง
14551,FORMIN 500 MG 50X10'S pml,7.00 บาท/แผง
13903,FORXIGA FCT 10MG,"1,520.00 บาท/กล่อง"
16418,FOSFOMICINA 3 GM. 1 SACHET,310.00 บาท/กล่อง
16521,FOTAGEL 3 GM 20 ML. x 6 ซอง(dioctahedral smectite),135.00 บาท/กล่อง
16160,FOTAGEL 3 GM 20 ML. x20 ซอง(dioctahedral smectite),430.00 บาท/กล่อง
12270,FOX400 10X10'S,125.00 บาท/แพค
16340,FRESH CLEAR EYE WASH 100 ML 10 ML10ชิ้นกล่องเล็ก neoca,30.00 บาท/กล่อง
