รหัสสินค้า,ชื่อสินค้า,ราคา
8.85909E+12,AMSEL VITAMIN K2+D3 30'S,233
8.85909E+12,AMSEL ZINC PLUS 30'S,116
8.85905E+12,AMTA 500(AMPICILLIN 500MG)50x10'S(H.K.),687
8.85905E+12,AMTA 500MG. 500'S(AMPICILLIN)H.K.,665
8.85394E+12,AMTUSS 30MG.(AMBROXOL)50x10'S(UNISON),282.25
8.85945E+12,AMVAS 10MG.10x10'S(AMLODIPINE),152
8.85266E+12,AMXOL SYRUP 60ML(AMBROXOL)BIOPHARM,18.25
8.90153E+12,AMYN-500 10x10'S(AMOXY เหลือง-น้ำตาล)PML,135
9.30081E+12,"ANABOLIC AMINO 10,000 90'S.ขวด",659
8.85651E+12,ANALGIC 500 25x10'S/BX.(สูตรPONSTAN)T.MAN,278.5
25490406,ANALGIC-500(สูตรPONSTAN)50x10'Sเหลือง,466
8.85147E+12,ANAMAI 50x28'S (TNP),20.75
8.85262E+12,ANAPRIL 20MG.10x10'S.(ENALAPRIL),96
8.85262E+12,ANAPRIL 5MG.10x10'S.(ENALAPRIL),59
8.85262E+12,ANAPRIL-S 20MG.10x10’S(ENALAPRIL),96
8.85262E+12,ANAPRIL-S 5MG.10x10’S(ENALAPRIL),57
8.85265E+12,ANASIC BALM 25GM./หลอด,22.5
8.85272E+12,ANDRIOL TESTOCAPS 40MG 6x10'S,765
8.85879E+12,ANDROCUR 50MG.5x10'S.,2928
8.85882E+12,ANDROLIZ MOUTH SPRAY 15ML(C&L),89.75
8.85008E+12,ANDROSIL MOUTH SPRAY 15ML(วิยาศรม),87.75
,ANIZ GLYCERIN SUPPO.10'S(เด็ก)*เลิกผลิต*,47.25
,ANIZ GLYCERIN SUPPOSITORIES 10'S(ผู้ใหญ่),47.25
111133,ANKLE SUPPORT ไซซ์ M (20.5-23.0ซม.),97.75
8.85872E+12,ANMATIC 50x10'S(PIROX 20MG.)KENYAKU,528.75
8.85147E+12,ANNA 50x28'S (TNP) (ใหม่),23.5
8.8546E+12,ANNIE 21'S แพ็คโหล,56
8.85938E+12,ANNIEGRIP สวมเข่า ไซส์ L(เหลือง),78.5
8.85938E+12,ANNIEGRIP สวมเข่า ไซส์ M(เหลือง),78.5
8.85938E+12,ANNIEGRIP สวมเข่า ไซส์ S(เหลือง),78.5
8.85938E+12,ANNIEGRIP สวมเข่า ไซส์ XL(เหลือง),78.5
8.85938E+12,ANNIEGRIP สวมข้อเท้า ไซซ์ L(ส้ม),59
