ชื่อสินค้า,ราคา
SAND-M GUMMY FIBER GLUTA กลิ่นสตรอเบอร์รี่โยเกิร์ต 6 ซอง/กล่อง,ราคา 176.00 บาท
SOS Plus ถุงหุ้มเฝือกกันน้ำ FM-080 สำหรับมือ 1 ชิ้น/กล่อง,ราคา 125.00 บาท
MILTEAR UD EYE Drops น้ำตาเทียม 30 หลอด/กล่อง (Millimed),ราคา 144.00 บาท
REGRO HAIR FOR LADY 225 ml,ราคา 172.00 บาท
SOS Plus เทปแต่งแผล ชนิดใส TR1 (1/2 inch x 10 yds),ราคา 110.00 บาท
เครื่องวัดความดัน TERUMO รุ่น W1200,"ราคา 1,698.00 บาท"
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
ยาหม่องน้ำตรางู กลิ่นลาเวนเดอร์ 12X5ml/โหล,ราคา 445.00 บาท
COLD HOT GEL PACK เอ็กซ์เตอร์ (13x10.5cm) 1 ชิ้น/กล่อง,ราคา 30.00 บาท
NEOBUN พลาสเตอร์ยาบรรเทาปวด สูตรเย็น 4X7cm 10 ชิ้น/กล่อง,ราคา 108.00 บาท
ยาธาตุน้ำขาว ไทยนคร 24X15ml (TNP),ราคา 152.00 บาท
BOWA 2X10's (TNP),ราคา 32.00 บาท
ALCOHOL ALSOFF 12X30ml ตราเสือดาว,ราคา 60.00 บาท
ยาเขียวสามฤดู สูตรเข้มข้น ตราปลาคู่ 10X10's/กล่อง,ราคา 320.00 บาท
VITAMIN B12 100 mcg 1000's,ราคา 248.00 บาท
ยาดมสมุนไพร ตราเฮงเฮง,ราคา 25.00 บาท
ยาดม ตราหอมจันทน์ ปราสาททอง PACK 6X3g,ราคา 0.00 บาท
น้ำมันเหลือง ตราซีแอล 24 ml,ราคา 73.00 บาท
ยาน้ำมันเหลืองสูตรไพล ตราแม่กุหลาบ 12X3ml,ราคา 228.00 บาท
ยาหม่องสมุนไพร เฮื้อง เส่า โก๊ว หัวใจทอง 15 g,ราคา 25.00 บาท
MYPARA 500 mg 30X12's (GREATER),ราคา 175.00 บาท
DOMERDON Suspension 30 ml,ราคา 13.00 บาท
MEDICFLOX 1X10's (Medicpharma),ราคา 70.00 บาท
BLIZTIN 20 mg 1X10's (SIAM),ราคา 82.00 บาท
CEFUROXIME 500 mg 10X10's (BKD),"ราคา 1,290.00 บาท"
SKINFECT-B Cream 15 g (BKD),ราคา 32.00 บาท
PROBUFEN 600 mg 25X10's/กล่อง,ราคา 248.00 บาท
PATBLU 500 mg 50X10's (TNP),ราคา 365.00 บาท
MYDA SOAP PACK 6X80g (T.MAN),ราคา 220.00 บาท
SMOOTH E WHITE BABYFACE Cream 30 g,ราคา 218.00 บาท
A-LEAZE 5 mg 1X10's (SIAM),ราคา 67.00 บาท
SMOOTH E WHITE BABYFACE Cream 12 g,ราคา 94.00 บาท
COLOGEN 1000's (TO),ราคา 365.00 บาท
EUGICA IVY Syrup 100 ml (MEGA),ราคา 146.00 บาท
NEWTAMOX 250 O.S. กลิ่นผลไม้ 60 ml (NL),ราคา 25.00 บาท
MASK YAMADA 3D KIDS หน้ากากอนามัย 5 ชิ้น/ห่อ,ราคา 26.50 บาท
SMOOTH E GOLD WRINKLE FILLER 65 g,ราคา 498.00 บาท
SPECTRABAN SPF50+PA+++ Cream 20 g,ราคา 200.00 บาท
DEZTANEX 5 mg 10X10's (TEVA),ราคา 355.00 บาท
OSAMINE-S Powder 30 ซอง/กล่อง (Medline),ราคา 240.00 บาท
LIPOSTAT 10 mg 3X10's (SIAM),ราคา 135.00 บาท
นมอัดเม็ด กลิ่นช็อกโกแลต แอมมิ้ลค์ 24 ซอง/กล่อง,ราคา 505.00 บาท
MULTIVITAMIN Effervescent กลิ่นส้ม 20's (Interpharma),ราคา 98.00 บาท
OMEGA-3 MAMARINE 30's,ราคา 245.00 บาท
ROTHRICIN 150 mg 10X10's (SIAM),ราคา 325.00 บาท
THROATSIL PLUS (24X8's),ราคา 17.50 บาท
ยาอม ตราไอยรา IYARA LITE 15X8's (T.MAN),ราคา 370.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
CANASONE C.B. Cream 25 g (TNP),ราคา 69.50 บาท
LIPOSTAT 20 mg 3X10's (SIAM),ราคา 168.00 บาท
TYLENOL 500 mg 50's,ราคา 68.00 บาท
EUGICA COFF อมสมุนไพร (15X8's),ราคา 326.00 บาท
CALCIFEROL VITAMIN D3 1000 IU 3X10's,ราคา 95.00 บาท
ยาน้ำแก้ไอ ตราเสือดาว รสน้ำผึ้งผสมมะนาว 120 ml,ราคา 33.00 บาท
ISOSORBIDE DINITRATE 10 mg 50X10's (GPO),ราคา 315.00 บาท
PHARMICA PIROXICAM Gel 50 g,ราคา 52.00 บาท
AROTIKA RUB Cream 35 g (BKD),ราคา 66.00 บาท
AROTIKA RUB Cream 100 g (BKD),ราคา 162.00 บาท
PROBUFEN Gel 25 g,ราคา 38.00 บาท
BANOCIN Oral 5 g,ราคา 14.50 บาท
PYBUFEN-P 400 mg 50X10's/กล่อง,ราคา 340.00 บาท
HYDROGEN 450 ml (วิทยาศรม),ราคา 20.50 บาท
VIRUNO 60 mg สารสกัดฟ้าทะลายโจร 3X5's (MEGA),ราคา 135.00 บาท
FOBAN Ointment 5 g (HOE),ราคา 45.00 บาท
PLANIL Gel 30 g (BIOPHARM),ราคา 75.00 บาท
ยาดมน้ำสมุนไพร เฮื้อง เส่า ห่ง หัวใจทอง,ราคา 19.00 บาท
เยี่ยมจั่วซั้ว 10 ห่อ/กล่อง,ราคา 345.00 บาท
MELLODERM-HQ (4%) 7 g,ราคา 62.00 บาท
เยนเชียนไวโอเลต ตราเสือดาว 15 ml,ราคา 56.00 บาท
MYDA BS Cream 15 g (T.MAN),ราคา 35.50 บาท
CHOLEZZ 3X10's/กล่อง (MEGA),ราคา 533.00 บาท
CLOBETATE Cream 15 g,ราคา 37.00 บาท
BD MICRO-FINE 0.25mm 31G x 5 mm 100 ชิ้น/กล่อง,ราคา 495.00 บาท
EBERIL 90 mg 3X10's/กล่อง,ราคา 338.00 บาท
FLOCTIL 250 mg (1X6's),ราคา 55.00 บาท
ACCU-CHEK INSTANT STRIPS 50 ชิ้น/กล่อง,ราคา 748.00 บาท
VISTRA IMU-PRO C ACEROLA CHERRY 2000 PLUS 30's,ราคา 330.00 บาท
VISTRA เซตคู่ ACEROLA CHERRY+GRAPE SEED,ราคา 248.00 บาท
VISTRA SOY LECITHIN 1200 mg 90's,ราคา 205.00 บาท
VISTRA SESAMIN NIGHT TIME 30's,ราคา 505.00 บาท
MESTINON 60 mg 150's (Menarini),"ราคา 1,443.00 บาท"
TOMONT 5 mg Chewable 4X7's (TO),ราคา 262.00 บาท
PHARMATON 30's,ราคา 370.00 บาท
VISTRA VAGINY 30's,ราคา 362.00 บาท
TODESAAR 16 mg 3X10's (TO),ราคา 380.00 บาท
VISTRA SAKURA EXTRACT 30's,ราคา 620.00 บาท
XARATOR 10 mg 10X10's (VIATRIS),"ราคา 1,695.00 บาท"
AVAMYS NASAL Spray Suspension 60 sprays (GSK),ราคา 365.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
CLARICARE NASAL Spray 100 ml (BAYER),ราคา 178.00 บาท
VISTRA LYSIN BIO MULTIVITAMINS 120 ml,ราคา 120.00 บาท
HEMP SEED OIL Cream 120 g (VITARA),ราคา 135.00 บาท
LUBRIC-EYES น้ำตาเทียม 0.8 ml,ราคา 49.50 บาท
VISTRA L-CYSTEINE PLUS BIOTIN 30's,ราคา 265.00 บาท
VISTRA INTEL-ACTIV B COMPLEX ULTRA PLUS 30's,ราคา 260.00 บาท
VISTRA LIVOTOX 30's,ราคา 320.00 บาท
VISTRA DUO MATCH GLUTA+COLLAGEN,ราคา 405.00 บาท
VISTRA CRANBERRY 600 mg 30's,ราคา 245.00 บาท
VISTRA EGG SHELL MEMBRANE 30's,ราคา 512.00 บาท
CELECOXIB T.O. 200 mg 1X10's (TO),ราคา 44.00 บาท
AMARYL 2 mg 3X10's (SANOFI),ราคา 395.00 บาท
ยาวัฒนะ พลัส 2 เม็ด/กล่อง,ราคา 110.00 บาท
KOACT 1000 mg 2X5's (BIOPHARM),ราคา 88.00 บาท
B-COXIB 120 mg 3X10's (BDMS),ราคา 160.00 บาท
GOFEN Liquiz กลิ่นส้ม 60 ml (MEGA),ราคา 96.00 บาท
ยาสีฟันเทพไทย รสสเปียร์มิ้นท์ 70 g,ราคา 80.00 บาท
DENTISTE BREATH Spray 15 ml,ราคา 175.00 บาท
DENTISTE MOUTH Spray 10 ml,ราคา 75.00 บาท
BUZETIN 8 mg 10X10's/กล่อง,ราคา 47.00 บาท
BLACKMORES JOIN PLUS 30's,ราคา 484.00 บาท
NEOBUN Spray 45 ml,ราคา 54.00 บาท
CELEBREX 400 mg 5's (VIATRIS),ราคา 155.00 บาท
จิ่วเจ้งปู่เซินเจียวหนัง เอสวัน 6 เม็ด/กล่อง,ราคา 180.00 บาท
ALPHAGAN P Ophthalmic Solution 5 ml,ราคา 380.00 บาท
ULTRACARBON N.F. (5X10's),ราคา 324.00 บาท
NSS 0.9% SODIUM CHLORIDE FOR INJECTION 100X5ml (TO),ราคา 375.00 บาท
FEITAS DICLOFENAC PATCH (2แผ่นX15ซอง),ราคา 955.00 บาท
ถุงมือแพทย์ ซาโตรี่ แบบไม่มีแป้ง Size S 100 ชิ้น/กล่อง,ราคา 105.00 บาท
ถุงมือแพทย์ ซาโตรี่ แบบไม่มีแป้ง Size M 100 ชิ้น/กล่อง,ราคา 105.00 บาท
ถุงมือแพทย์ ซาโตรี่ แบบไม่มีแป้ง Size L 100 ชิ้น/กล่อง,ราคา 105.00 บาท
VICKS วิคส์ วาโปดรอป กลิ่นส้ม 24's,ราคา 77.50 บาท
VICKS วิคส์ วาโปดรอป กลิ่นส้ม (24X8's),ราคา 780.00 บาท
VICKS วิคส์ วาโปดรอป กลิ่นน้ำผึังมะนาว (24X8's),ราคา 780.00 บาท
VICKS วิคส์ วาโปดรอป กลิ่นน้ำผึังมะนาว 24's,ราคา 77.50 บาท
GALE 50 mg 1X10's (BIOPHARM),ราคา 250.00 บาท
ยาน้ำแก้ไอ ยูอีคอฟ CD มะขามป้อม กลิ่นน้ำผึ้งผสมเลมอน 120 ml,ราคา 31.00 บาท
UE COF อม ยู อี คอฟ มะขามป้อม ผสมสารสกัดพรอพโพลิส (20X8's),ราคา 39.00 บาท
MINUS-SUN 5gX12ซอง ครีมกันแดด,ราคา 400.00 บาท
FEXLORA KIDS Chewable 1X10's (SPS),ราคา 45.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
FEXLORA 10 mg Chewable 1X10's (SPS),ราคา 48.00 บาท
HASHI PLUS ชุดเกลือและอุปกรณ์ล้างจมูก 15 ซอง/กล่อง (TCP),ราคา 154.00 บาท
ZEROTAN 40 mg 1X2's (Millimed),ราคา 135.00 บาท
VIT-D DROPS 15 ml (BLHUA),ราคา 50.00 บาท
FRESH CLEAR EYE WASH ยาล้างตา 10X20ml/กล่อง,ราคา 55.00 บาท
NEXTSTELLIS 1X28's (OLIC),ราคา 455.00 บาท
POLIDENT FLAVOUR FREE Cream 60 g (GSK),ราคา 214.00 บาท
UNC PROBIOTIC COLLAGEN 5 ซอง/ห่อ,ราคา 565.00 บาท
UNC CALCIUM PLUS 30's,ราคา 565.00 บาท
UNC CALCIUM CD 60's,ราคา 565.00 บาท
ACC Sandoz 200 mg กลิ่นแบล็กเบอร์รี่ 20's (SANDOZ),ราคา 152.00 บาท
AMOXYCILLIN 500 mg เขียวฟ้า (50X10's),ราคา 460.00 บาท
AMOXYCILLIN 500 mg เขียวฟ้า 500's,ราคา 460.00 บาท
TEMPRA FIZZ Effervescent กลิ่นส้ม 12's/กล่อง (TAISHO),ราคา 76.00 บาท
I-KIDS HONEY GRAPE POPS กลิ่นองุ่น 10 ซอง/กล่อง,ราคา 120.00 บาท
I-KIDS HONEY ORANGE POPS กลิ่นส้ม 10 ซอง/กล่อง,ราคา 120.00 บาท
I-KIDS CALCIUM POPS กลิ่นนมสตรอเบอร์รี่ 10 ซอง/กล่อง,ราคา 120.00 บาท
I-KIDS CALCIUM POPS กลิ่นช็อกโกแลต 10 ซอง/กล่อง,ราคา 120.00 บาท
FOTAGEL Suspension 20ซองX20ml,ราคา 460.00 บาท
SPEDIFEN 400 mg 30's (Zambon),ราคา 367.75 บาท
UMBILI สติ๊กเกอร์หอมแดง Good Day 10 ชิ้น/กล่อง (อัมบิลี่),ราคา 60.00 บาท
UMBILI สติ๊กเกอร์หอมแดง Good Night 10 ชิ้น/กล่อง (อัมบิลี่),ราคา 60.00 บาท
PREGNANCY TEST WONDER ชุดทดสอบการตั้งครรภ์ แบบปัสสาวะผ่าน 1 ชุด/กล่อง,ราคา 74.00 บาท
ยาหม่องน้ำเซียงเพียวอิ๊ว สูตร 2 ลูกกลิ้ง 6X5ml/กล่อง,ราคา 205.00 บาท
ยาหม่องน้ำเซียงเพียวอิ๊ว สูตร 1 ลูกกลิ้ง 6X5ml/กล่อง,ราคา 205.00 บาท
CALTAB 600 mg 10X10's (Millimed),ราคา 55.00 บาท
กระต่ายบินโททรอล TOTRAL กลิ่นสตรอเบอร์รี่ 20X30ml,ราคา 525.00 บาท
JELLY ME APPLE CIDER 12 ซอง/กล่อง,ราคา 176.00 บาท
JELLY ME COLLAGEN 12 ซอง/กล่อง,ราคา 176.00 บาท
JELLY ME FIBER 12 ซอง/กล่อง,ราคา 176.00 บาท
CLOBETATE SCALP 30 ml (POLIPHARM),ราคา 43.00 บาท
ยาแก้ไอน้ำดำ ตราเสือดาว 60 ml,ราคา 17.50 บาท
DIFAZT SOFT Gel 10's (Macrophar),ราคา 47.00 บาท
Digital Thermometer ปรอทดิจิตอล ปลายอ่อน รุ่น NH-201,ราคา 67.50 บาท
จุกล้างจมูก ZUMI 2 ชิ้น,ราคา 20.00 บาท
AMMELTZ GOLD 48 ml สูตรเข้มข้น,ราคา 152.00 บาท
UTMOS 15 mg 10X10's (BERLIN),ราคา 250.00 บาท
SUTAC 10 mg 1X10's (SPS),ราคา 15.00 บาท
ยาแคปซูลฟ้าทะลายโจร ตราแม่กุหลาบ 100's,ราคา 64.00 บาท
SINULAN Forte Express 15 ml (STADA),ราคา 226.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
SINULAN Forte Allergy 15 ml (STADA),ราคา 226.00 บาท
D THROLIS ดีโทรลิส คิดส์ เมาท์ สเปรย์ 10 ml (STADA),ราคา 108.00 บาท
BERCLOMIN Tablet 10X10's (POLIPHARM),ราคา 113.00 บาท
AMOGIN OTC TAB 1X10's (Millimed),ราคา 11.50 บาท
BOTAN HERBAL DRINK CANDY โบตัน ตรากิเลน ชะเอมมิ้นท์ 12 ซอง/กล่อง,ราคา 170.00 บาท
I-HERB OTC ยาอมสมุนไพร ไอ-เฮิร์บ โอทีซี (20X18's),ราคา 369.00 บาท
I-HERB ยาอมสมุนไพร ไอ-เฮิร์บ สูตรปราจากน้ำตาล (12X8's),ราคา 210.00 บาท
TIMAZOL 5 mg 10X10's (SPS),ราคา 95.00 บาท
SAND-M OMY GLASS BEAUTI GUMMY 6 ซอง/กล่อง,ราคา 175.00 บาท
SAND-M OMY CLEAR BEAUTI GUMMY 6 ซอง/กล่อง,ราคา 158.00 บาท
ALVO PROBITES กลิ่นช็อกโกแลต 20 ชิ้น/กล่อง,ราคา 390.00 บาท
GLUCOSA 1500 mg Powder กลิ่นส้ม 30 ซอง/กล่อง (BKD),ราคา 265.00 บาท
